trade_no,start_date,cusip,type,quantity,rate
3488914,2025-04-29 07:49:42,912797QH3,REP,10000000,4.350000
3488917,2025-04-29 07:50:25,912797QB6,REP,10000000,4.230000
3488918,2025-04-29 07:50:38,912797PP6,REV,11000000,4.200000
3488924,2025-04-29 07:59:59,912810EV6,REV,25000000,4.270000
3489019,2025-04-29 08:14:06,912797PJ0,REV,25000000,4.000000
3489020,2025-04-29 08:14:06,912797PJ0,REV,50000000,4.000000
3489024,2025-04-29 08:21:06,912797PD3,REP,25000000,4.350000
3489029,2025-04-29 08:23:24,912797LW5,REP,25000000,4.320000
3489070,2025-04-29 08:24:11,912797NN3,REP,50000000,4.350000
3489132,2025-04-29 08:29:04,912797PH4,REP,25000000,4.310000
3489156,2025-04-29 08:35:11,912797PZ4,REP,10000000,4.330000
3489157,2025-04-29 08:35:14,912797NW3,REP,10000000,4.330000
3489158,2025-04-29 08:35:50,912797PH4,REP,50000000,4.360000
3489159,2025-04-29 08:35:50,912797PH4,REP,50000000,4.360000
3489187,2025-04-29 08:43:01,91282CLP4,REP,25000000,4.370000
3489188,2025-04-29 08:46:30,912797PP6,REV,50000000,4.280000
3489189,2025-04-29 08:46:30,912797PP6,REV,50000000,4.280000
3489190,2025-04-29 08:46:30,912797PP6,REV,50000000,4.280000
3489191,2025-04-29 08:46:30,912797PP6,REV,50000000,4.280000
3489192,2025-04-29 08:46:30,912797PP6,REV,50000000,4.280000
3489466,2025-04-29 09:15:56,912797NA1,REV,50000000,4.150000
3489467,2025-04-29 09:15:56,912797NA1,REV,50000000,4.150000
3489468,2025-04-29 09:15:56,912797NA1,REV,50000000,4.150000
3489469,2025-04-29 09:15:56,912797NA1,REV,50000000,4.150000
3489472,2025-04-29 09:16:24,912797NA1,REV,25000000,4.150000
3489473,2025-04-29 09:16:24,912797NA1,REV,50000000,4.150000
3489485,2025-04-29 09:18:35,912797PY7,REV,25000000,4.370000
3489564,2025-04-29 09:29:01,9128284Z0,REV,25000000,4.240000
3489565,2025-04-29 09:29:01,9128284Z0,REV,50000000,4.240000
3489566,2025-04-29 09:29:06,9128284Z0,REV,25000000,4.240000
3489567,2025-04-29 09:29:14,912810EY0,REV,25000000,4.240000
3489568,2025-04-29 09:29:14,912810EY0,REV,50000000,4.240000
3489569,2025-04-29 09:29:57,912810EV6,REV,50000000,4.200000
3489619,2025-04-29 09:36:23,912810EV6,REV,50000000,4.200000
3489620,2025-04-29 09:36:23,912810EV6,REV,50000000,4.200000
3489621,2025-04-29 09:36:23,912810EV6,REV,50000000,4.200000
3489622,2025-04-29 09:36:35,9128284Z0,REV,50000000,4.200000
3489623,2025-04-29 09:36:35,9128284Z0,REV,50000000,4.200000
3489654,2025-04-29 09:38:34,912797PZ4,REP,32000000,4.300000
3489667,2025-04-29 09:39:50,912797QG5,REP,25000000,4.310000
3489721,2025-04-29 09:47:39,912797LW5,REP,19000000,4.300000
3489795,2025-04-29 10:02:07,912810UE6,REP,10000000,4.330000
3489827,2025-04-29 10:03:47,912810UE6,REV,10000000,4.300000
3489830,2025-04-29 10:03:56,912810UE6,REV,50000000,4.330000
3489941,2025-04-29 10:13:50,912797QE0,REV,50000000,4.250000
3489955,2025-04-29 10:16:59,912797PW1,REP,5000000,4.310000
3489958,2025-04-29 10:17:04,912797PY7,REP,5000000,4.340000
3489959,2025-04-29 10:17:13,912797MG9,REP,25000000,4.330000
3489963,2025-04-29 10:17:32,91282CLY5,REV,8000000,4.360000
3489965,2025-04-29 10:17:37,91282CJP7,REP,7000000,4.330000
3489966,2025-04-29 10:17:47,91282CLY5,REP,25000000,4.360000
3489967,2025-04-29 10:17:53,912810TT5,REP,12000000,4.350000
3489970,2025-04-29 10:19:02,9128285J5,REV,12000000,4.360000
3489971,2025-04-29 10:19:10,912797PZ4,REP,5000000,4.340000
3489979,2025-04-29 10:22:04,912797NA1,REP,5000000,4.100000
3489980,2025-04-29 10:22:09,9128284Z0,REV,25000000,4.200000
3489993,2025-04-29 10:22:51,912810UG1,REV,11000000,4.340000
3490002,2025-04-29 10:25:01,91282CGA3,REP,22000000,4.100000
3490003,2025-04-29 10:25:09,912797PZ4,REP,50000000,4.300000
3490020,2025-04-29 10:33:11,912797PJ0,REV,50000000,4.190000
3490027,2025-04-29 10:34:15,912797PT8,REV,25000000,3.850000
3490041,2025-04-29 10:37:09,912810SN9,REV,13000000,4.240000
3490042,2025-04-29 10:37:24,912797PT8,REV,13000000,3.850000
3490261,2025-04-29 10:42:54,912810EX2,REV,5000000,4.190000
3490265,2025-04-29 10:46:40,912797PT8,REP,25000000,3.500000
3490319,2025-04-29 11:03:25,912810SQ2,REP,6000000,4.250000
3490322,2025-04-29 11:03:33,912810UJ5,REP,50000000,4.280000
3490325,2025-04-29 11:05:04,912810TR9,REP,31000000,4.300000
3490326,2025-04-29 11:05:30,912810UG1,REP,16000000,4.320000
3490329,2025-04-29 11:11:40,912797NU7,REP,5000000,4.250000
3490332,2025-04-29 11:12:59,912797PH4,REP,50000000,4.350000
3490336,2025-04-29 11:17:20,912797QD2,REP,44000000,4.360000
3490337,2025-04-29 11:18:03,912797PH4,REP,50000000,4.350000
3490338,2025-04-29 11:18:52,912797PD3,REP,5000000,4.290000
3490339,2025-04-29 11:18:54,912797PD3,REP,19000000,4.300000
3490340,2025-04-29 11:18:57,912797PD3,REP,5000000,4.340000
3490342,2025-04-29 11:32:38,912797QG5,REV,17000000,4.360000
