trade_no,start_date,cusip,type,quantity,rate
3493673,2025-04-29 10:38:43,91282CKR1,REV,6000000,4.350000
3493674,2025-04-29 10:38:46,91282CBB6,REV,8000000,4.380000
3493782,2025-04-29 10:45:40,912810UJ5,REP,5000000,4.000000
3493801,2025-04-29 10:45:58,912810UJ5,REV,50000000,4.100000
3493894,2025-04-29 11:01:05,912810UC0,REP,11000000,4.390000
3493895,2025-04-29 11:01:23,912810UC0,REV,25000000,4.420000
3493983,2025-04-29 11:07:38,912797PZ4,REP,5000000,4.340000
3494018,2025-04-29 11:08:53,912810TE8,REP,5000000,4.280000
3494021,2025-04-29 11:16:24,91282CGE5,REV,9000000,4.030000
3494022,2025-04-29 11:16:37,91282CCZ2,REP,5000000,4.290000
3494023,2025-04-29 11:16:42,91282CGP0,REP,5000000,4.290000
3494027,2025-04-29 11:18:17,91282CGE5,REP,25000000,3.950000
3494052,2025-04-29 11:29:47,91282CAB7,REP,5000000,4.200000
3494054,2025-04-29 11:30:02,91282CLW9,REV,10000000,4.310000
3494055,2025-04-29 11:30:05,91282CAB7,REV,25000000,4.250000
3494056,2025-04-29 11:31:21,91282CLW9,REV,10000000,4.300000
3494057,2025-04-29 11:31:40,91282CLW9,REV,10000000,4.300000
3494061,2025-04-29 11:34:53,91282CGS4,REV,15000000,4.300000
3494062,2025-04-29 11:35:08,91282CJX0,REV,7000000,4.250000
3494063,2025-04-29 11:35:11,91282CGS4,REV,10000000,4.310000
3494070,2025-04-29 11:36:34,91282CGE5,REV,6000000,4.000000
3494146,2025-04-29 11:49:54,912828YS3,REP,25000000,4.310000
3494149,2025-04-29 11:52:30,9128286X3,REV,14000000,4.420000
3494150,2025-04-29 11:52:30,9128286X3,REP,5000000,4.380000
3494155,2025-04-29 11:54:43,91282CGV7,REP,12000000,4.200000
3494156,2025-04-29 11:54:57,91282CGV7,REV,25000000,4.200000
3494157,2025-04-29 11:55:03,9128285N6,REP,5000000,4.250000
3494158,2025-04-29 11:55:21,9128285N6,REV,25000000,4.290000
3494164,2025-04-29 12:00:31,91282CJX0,REV,5000000,4.250000
3494219,2025-04-29 12:20:43,912810TU2,REP,5000000,4.370000
3494220,2025-04-29 12:21:01,912810TU2,REV,25000000,4.410000
3494221,2025-04-29 12:21:25,91282CJS1,REV,19000000,4.280000
3494387,2025-04-29 12:44:26,9128286A3,REP,6000000,4.300000
3494388,2025-04-29 12:44:44,9128286A3,REV,25000000,4.340000
3494695,2025-04-29 14:09:16,912797PK7,REP,20000000,4.100000
3494698,2025-04-29 14:13:57,912810TE8,REP,12000000,4.360000
3494701,2025-04-29 14:14:15,912810TE8,REV,25000000,4.400000
3494802,2025-04-29 14:40:04,912797PK7,REP,5000000,4.050000
3494822,2025-04-29 14:42:28,912797PB7,REP,5000000,4.150000
3494832,2025-04-29 14:46:24,912810EV6,REP,25000000,4.000000
3494874,2025-04-29 15:26:30,91282CHC8,REV,25000000,4.440000
3494875,2025-04-29 15:26:38,91282CGA3,REP,18000000,4.170000
3494876,2025-04-29 15:26:47,91282CEY3,REP,17000000,4.360000
3494877,2025-04-29 15:26:55,91282CGA3,REV,25000000,4.180000
3494878,2025-04-29 15:27:03,91282CEY3,REV,25000000,4.360000
3494889,2025-04-29 15:27:24,91282CFU0,REP,16000000,4.410000
3494895,2025-04-29 15:27:29,91282CFM8,REV,19000000,4.450000
3494921,2025-04-29 15:27:38,91282CHY0,REV,17000000,4.450000
3494940,2025-04-29 15:27:41,91282CFU0,REV,25000000,4.430000
3494947,2025-04-29 15:27:44,912810FA1,REV,12000000,4.420000
3494955,2025-04-29 15:27:49,91282CCA7,REP,5000000,4.400000
3494956,2025-04-29 15:27:51,91282CFM8,REP,25000000,4.450000
3494958,2025-04-29 15:28:05,91282CGA3,REP,9000000,4.180000
3494959,2025-04-29 15:28:21,91282CGA3,REV,25000000,4.180000
3494970,2025-04-29 15:29:26,912810TJ7,REP,11000000,4.430000
3494971,2025-04-29 15:29:47,912810TJ7,REV,25000000,4.440000
3494974,2025-04-29 15:30:47,91282CGX3,REV,8000000,4.410000
3495039,2025-04-29 15:44:04,91282CHL8,REP,16000000,4.340000
3495040,2025-04-29 15:44:15,91282CHL8,REV,25000000,4.340000
3495053,2025-04-29 16:00:52,91282CLR0,REV,5000000,4.450000
3495054,2025-04-29 16:00:55,91282CLR0,REV,14000000,4.430000
3495347,2025-04-29 07:00:21,912810EW4,REV,50000000,4.410000
3495348,2025-04-29 07:00:21,912810EW4,REV,50000000,4.410000
3495349,2025-04-29 07:00:21,912810EW4,REV,50000000,4.410000
3495351,2025-04-29 07:00:18,912797PY7,REV,50000000,4.320000
3495353,2025-04-29 07:00:21,912797NW3,REV,50000000,4.350000
3495354,2025-04-29 07:00:21,912797NW3,REV,50000000,4.350000
3495373,2025-04-29 07:00:18,912797ND5,REV,14000000,4.370000
3495376,2025-04-29 07:00:19,912797QH3,REV,50000000,4.420000
3495380,2025-04-29 07:00:18,912797LB1,REV,50000000,4.380000
3495385,2025-04-29 07:00:55,91282CEF4,REV,50000000,4.400000
3495439,2025-04-29 07:00:54,91282CEF4,REP,50000000,4.380000
3495472,2025-04-29 07:01:31,91282CBL4,REV,50000000,4.390000
3495473,2025-04-29 07:01:31,91282CBL4,REV,50000000,4.390000
3495474,2025-04-29 07:01:31,91282CBL4,REV,50000000,4.390000
3495481,2025-04-29 07:01:54,91282CBL4,REP,31000000,4.390000
3495485,2025-04-29 07:02:09,91282CBL4,REV,50000000,4.390000
3495486,2025-04-29 07:02:09,91282CBL4,REV,50000000,4.390000
3495490,2025-04-29 07:02:20,912797NV5,REP,15000000,4.400000
3495498,2025-04-29 07:02:42,912797NV5,REV,25000000,4.410000
3495499,2025-04-29 07:02:42,91282CKK6,REV,45000000,4.420000
3495500,2025-04-29 07:02:44,912797QC4,REV,50000000,4.210000
3495502,2025-04-29 07:02:54,91282CKK6,REP,25000000,4.420000
3495505,2025-04-29 07:02:58,91282CGA3,REV,29000000,4.200000
3495512,2025-04-29 07:03:18,91282CGA3,REP,25000000,4.190000
3495593,2025-04-29 07:04:21,91282CBL4,REP,50000000,4.400000
3495594,2025-04-29 07:04:21,91282CBL4,REP,50000000,4.400000
3495595,2025-04-29 07:04:21,91282CBL4,REP,50000000,4.400000
3495597,2025-04-29 07:04:21,91282CBL4,REV,50000000,4.420000
3495598,2025-04-29 07:04:21,91282CBL4,REV,50000000,4.420000
3495630,2025-04-29 07:04:47,912810UD8,REV,50000000,4.420000
3495631,2025-04-29 07:04:47,912810UD8,REV,50000000,4.420000
3495704,2025-04-29 07:04:47,912810UD8,REP,50000000,4.390000
3495705,2025-04-29 07:04:47,912810UD8,REP,50000000,4.390000
3495723,2025-04-29 07:05:08,91282CLV1,REV,50000000,4.390000
3495731,2025-04-29 07:05:33,91282CJS1,REP,28000000,4.370000
3495737,2025-04-29 07:05:42,91282CLS8,REP,31000000,4.400000
3495738,2025-04-29 07:05:49,91282CJS1,REV,25000000,4.370000
3495739,2025-04-29 07:05:49,91282CJS1,REV,25000000,4.370000
3495744,2025-04-29 07:05:59,91282CLS8,REV,50000000,4.400000
3495748,2025-04-29 07:05:59,912797PL5,REP,10000000,4.350000
3495756,2025-04-29 07:06:07,912797LN5,REP,13000000,4.350000
3495757,2025-04-29 07:06:10,912828K74,REV,36000000,4.360000
3495762,2025-04-29 07:06:13,912797PL5,REV,25000000,4.360000
3495770,2025-04-29 07:06:25,912797LN5,REV,25000000,4.350000
3495771,2025-04-29 07:06:28,912828K74,REP,25000000,4.360000
3495806,2025-04-29 07:06:48,912797NW3,REV,24000000,4.370000
3495807,2025-04-29 07:06:49,912797NW3,REP,11000000,4.370000
3495808,2025-04-29 07:06:57,912828N71,REP,27000000,4.390000
3495809,2025-04-29 07:07:13,912828N71,REV,25000000,4.400000
3495810,2025-04-29 07:07:15,9128284Z0,REV,25000000,4.250000
3495813,2025-04-29 07:07:38,91282CAM3,REV,25000000,4.290000
3495814,2025-04-29 07:07:43,912828N71,REV,25000000,4.400000
3495816,2025-04-29 07:08:14,912810TW8,REV,25000000,4.400000
3495842,2025-04-29 07:09:43,91282CGA3,REV,50000000,4.150000
3495843,2025-04-29 07:09:43,91282CGA3,REP,50000000,4.130000
3495864,2025-04-29 07:10:16,912797PC5,REV,25000000,4.300000
3496053,2025-04-29 07:16:17,912797MH7,REP,10000000,4.240000
3496054,2025-04-29 07:16:30,912797MH7,REV,25000000,4.250000
3496073,2025-04-29 07:16:58,91282CMM0,REV,32000000,4.370000
3496074,2025-04-29 07:17:20,912797MH7,REP,13000000,4.250000
3496075,2025-04-29 07:17:36,912797MH7,REV,25000000,4.250000
3496076,2025-04-29 07:17:40,91282CMV0,REP,29000000,4.380000
3496077,2025-04-29 07:17:53,91282CMV0,REV,50000000,4.380000
3496157,2025-04-29 07:29:27,912797PW1,REP,10000000,4.350000
3496158,2025-04-29 07:29:49,912797PW1,REV,25000000,4.390000
3496882,2025-04-29 09:04:38,91282CLV1,REP,50000000,4.300000
3496883,2025-04-29 09:04:38,91282CLV1,REP,50000000,4.300000
3496884,2025-04-29 09:06:40,91282CMV0,REP,5000000,4.320000
3496885,2025-04-29 09:06:58,91282CMV0,REV,50000000,4.340000
3496890,2025-04-29 09:07:30,91282CJE2,REP,5000000,4.300000
3496901,2025-04-29 09:07:48,91282CJE2,REV,25000000,4.320000
3496958,2025-04-29 09:12:48,91282CGQ8,REV,5000000,4.370000
3497301,2025-04-29 09:34:55,91282CFF3,REP,5000000,4.250000
3497302,2025-04-29 09:35:13,91282CFF3,REV,25000000,4.290000
3497305,2025-04-29 09:36:53,912797PF8,REV,50000000,4.330000
3497438,2025-04-29 09:48:18,912828Y95,REP,5000000,4.250000
3497439,2025-04-29 09:48:36,912828Y95,REV,25000000,4.290000
3497440,2025-04-29 09:48:56,91282CFL0,REP,6000000,4.250000
3497443,2025-04-29 09:49:12,91282CFL0,REV,25000000,4.250000
3497448,2025-04-29 09:49:24,91282CMM0,REV,50000000,4.330000
3497613,2025-04-29 09:56:49,91282CJZ5,REV,25000000,4.260000
3497614,2025-04-29 09:56:49,91282CJZ5,REV,25000000,4.260000
3497617,2025-04-29 09:57:03,912810EY0,REV,25000000,4.270000
3497634,2025-04-29 10:00:05,91282CKK6,REV,9000000,4.300000
3497635,2025-04-29 10:00:05,91282CKK6,REP,5000000,4.250000
3497636,2025-04-29 10:00:05,91282CKR1,REP,7000000,4.250000
3497637,2025-04-29 10:00:05,912797NE3,REP,5000000,4.250000
3497643,2025-04-29 10:00:22,91282CMC2,REV,7000000,4.280000
3497644,2025-04-29 10:00:22,91282CMC2,REP,5000000,4.250000
3497645,2025-04-29 10:00:23,91282CKR1,REV,25000000,4.280000
3497666,2025-04-29 10:01:06,91282CJS1,REV,17000000,4.300000
3497667,2025-04-29 10:01:13,912828Y95,REV,10000000,4.300000
3497668,2025-04-29 10:01:20,91282CLL3,REV,14000000,4.300000
3497681,2025-04-29 10:01:36,9128286X3,REV,43000000,4.320000
3497690,2025-04-29 10:01:49,91282CLX7,REV,25000000,4.260000
3497692,2025-04-29 10:01:54,91282CJX0,REV,15000000,4.250000
3497693,2025-04-29 10:01:54,9128286X3,REP,25000000,4.300000
3497694,2025-04-29 10:01:55,91282CES6,REV,25000000,4.300000
3497696,2025-04-29 10:02:05,912797NU7,REP,5000000,4.240000
3497697,2025-04-29 10:02:05,912797NU7,REV,6000000,4.260000
3497711,2025-04-29 10:02:39,912797PR2,REP,5000000,4.230000
3497712,2025-04-29 10:02:39,912828M56,REV,26000000,4.330000
3497713,2025-04-29 10:02:39,912828M56,REP,5000000,4.310000
3497714,2025-04-29 10:02:39,912828ZW3,REV,10000000,4.330000
3497715,2025-04-29 10:02:39,912797PG6,REP,5000000,4.100000
3497716,2025-04-29 10:02:39,912828ZW3,REP,6000000,4.290000
3497720,2025-04-29 10:02:45,91282CMC2,REV,8000000,4.260000
3497721,2025-04-29 10:02:49,912810EZ7,REV,11000000,4.250000
3497722,2025-04-29 10:02:53,912797QF7,REV,15000000,4.330000
3497723,2025-04-29 10:02:57,912797PG6,REV,25000000,4.160000
3497725,2025-04-29 10:03:05,91282CMV0,REV,17000000,4.270000
3497727,2025-04-29 10:03:09,91282CMV0,REV,11000000,4.260000
3497730,2025-04-29 10:03:36,91282CLF6,REV,22000000,4.280000
3497788,2025-04-29 10:10:16,912797NL7,REP,5000000,4.130000
3497790,2025-04-29 10:10:24,912797QJ9,REP,5000000,4.200000
3497792,2025-04-29 10:10:34,912797NL7,REV,25000000,4.150000
3497815,2025-04-29 10:10:53,912797PP6,REP,5000000,4.150000
3497856,2025-04-29 10:11:21,912797NA1,REP,5000000,4.010000
3497863,2025-04-29 10:12:38,91282CES6,REV,25000000,4.330000
3497864,2025-04-29 10:12:38,91282CES6,REV,50000000,4.330000
3497924,2025-04-29 10:16:17,91282CMP3,REP,10000000,4.250000
3497925,2025-04-29 10:16:35,91282CMP3,REV,50000000,4.300000
3497930,2025-04-29 10:20:00,91282CML2,REP,10000000,4.250000
3497931,2025-04-29 10:20:00,91282CML2,REV,23000000,4.270000
3497934,2025-04-29 10:22:31,9128287B0,REP,5000000,4.240000
3497936,2025-04-29 10:22:49,9128287B0,REV,25000000,4.260000
3497961,2025-04-29 10:26:54,91282CMU2,REV,35000000,4.270000
3497962,2025-04-29 10:26:54,91282CMU2,REV,50000000,4.270000
3497969,2025-04-29 10:31:42,912810QE1,REP,5000000,4.230000
3497970,2025-04-29 10:31:54,91282CLY5,REP,5000000,4.200000
3497971,2025-04-29 10:32:00,912810QE1,REV,25000000,4.250000
3497972,2025-04-29 10:32:12,91282CLY5,REV,25000000,4.250000
3497976,2025-04-29 10:35:36,91282CHP9,REP,5000000,4.310000
3497979,2025-04-29 10:35:54,91282CHP9,REV,25000000,4.330000
3498002,2025-04-29 10:39:15,912797PG6,REP,10000000,4.150000
3498003,2025-04-29 10:39:31,912797PG6,REV,25000000,4.150000
3498071,2025-04-29 10:46:28,912797PN1,REP,5000000,4.150000
3498073,2025-04-29 10:46:46,912797PN1,REV,25000000,4.180000
3498138,2025-04-29 11:01:40,912810RL4,REP,5000000,4.230000
3498139,2025-04-29 11:01:58,912810RL4,REV,25000000,4.250000
3498140,2025-04-29 11:03:34,91282CHT1,REP,7000000,4.250000
3498141,2025-04-29 11:03:52,91282CHT1,REV,25000000,4.270000
3498165,2025-04-29 11:10:50,91282CBS9,REP,5000000,4.400000
3498166,2025-04-29 11:10:50,91282CBS9,REP,20000000,4.420000
3498167,2025-04-29 11:11:08,91282CBS9,REV,50000000,4.450000
3498212,2025-04-29 11:23:18,912810ST6,REP,23000000,4.370000
3498213,2025-04-29 11:23:21,91282CEY3,REP,14000000,4.390000
3498214,2025-04-29 11:23:36,912810ST6,REV,25000000,4.400000
3498215,2025-04-29 11:23:39,91282CEY3,REV,25000000,4.420000
3498220,2025-04-29 11:24:12,91282CBJ9,REP,20000000,4.430000
3498221,2025-04-29 11:24:30,91282CBJ9,REV,25000000,4.460000
3498226,2025-04-29 11:30:47,912797PY7,REV,25000000,4.290000
3498238,2025-04-29 11:33:22,91282CBL4,REV,50000000,4.260000
3498359,2025-04-29 11:41:55,912810EZ7,REV,21000000,4.430000
3498360,2025-04-29 11:41:55,912810EZ7,REP,5000000,4.390000
3498363,2025-04-29 11:44:35,91282CKH3,REP,5000000,4.280000
3498364,2025-04-29 11:44:41,91282CFM8,REP,7000000,4.300000
3498370,2025-04-29 11:48:56,91282CAJ0,REP,11000000,4.340000
3498377,2025-04-29 11:57:24,912810PU6,REP,5000000,4.400000
3498379,2025-04-29 11:57:42,912810PU6,REV,25000000,4.440000
3498387,2025-04-29 11:59:45,912797PG6,REV,10000000,4.170000
3498388,2025-04-29 11:59:45,912797PG6,REP,5000000,4.150000
3498408,2025-04-29 12:10:22,9128285N6,REP,5000000,4.260000
3498409,2025-04-29 12:10:40,9128285N6,REV,25000000,4.310000
3498625,2025-04-29 13:00:19,912797PJ0,REP,5000000,4.250000
3498627,2025-04-29 13:00:53,912797PS0,REP,5000000,4.250000
3498644,2025-04-29 13:02:31,912797PH4,REP,25000000,4.270000
3498834,2025-04-29 13:14:30,91282CMU2,REV,10000000,4.270000
3498835,2025-04-29 13:14:32,91282CMW8,REV,10000000,4.260000
3498850,2025-04-29 13:23:55,912797MH7,REV,15000000,4.270000
3498901,2025-04-29 13:33:45,91282CLV1,REP,25000000,4.440000
3498902,2025-04-29 13:33:45,91282CLV1,REP,50000000,4.440000
3498913,2025-04-29 13:33:43,91282CLV1,REV,25000000,4.460000
3498914,2025-04-29 13:33:43,91282CLV1,REV,50000000,4.460000
3498916,2025-04-29 13:38:17,91282CMJ7,REP,6000000,4.290000
3498917,2025-04-29 13:38:35,91282CMJ7,REV,25000000,4.380000
3498918,2025-04-29 13:40:21,912810QU5,REP,5000000,4.400000
3498919,2025-04-29 13:40:39,912810QU5,REV,25000000,4.440000
3498924,2025-04-29 13:48:55,912797PF8,REP,5000000,4.100000
3498985,2025-04-29 14:29:22,912797NW3,REP,25000000,4.100000
3499019,2025-04-29 14:43:37,91282CHD6,REV,6000000,4.390000
3499020,2025-04-29 14:43:37,91282CHD6,REP,5000000,4.350000
3499048,2025-04-29 14:45:48,91282CML2,REP,5000000,3.800000
