order_id,order_timestamp,order_cusip,order_direction,order_size,order_price,order_source,apex_trade_no,apex_timestamp,apex_cusip,apex_type,apex_quantity,apex_rate,apex_shortcode
,2025-04-25 07:00:37.115,912797PW1,Sell,16.000000,4.310000,BTEC_REPO_US,3488195,2025-04-29 07:00:37,912797PW1,REP,16000000,4.310000,BTEC
,2025-04-25 07:00:54.330,912797PD3,Buy,25.000000,4.340000,BTEC_REPO_US,3488226,2025-04-29 07:01:19,912797PD3,REV,25000000,4.340000,BTEC
,2025-04-25 07:00:54.332,912797PD3,Sell,17.000000,4.310000,BTEC_REPO_US,3488208,2025-04-29 07:00:54,912797PD3,REP,17000000,4.310000,BTEC
,2025-04-25 07:00:54.385,912797PD3,Buy,25.000000,4.340000,BTEC_REPO_US,3488226,2025-04-29 07:01:19,912797PD3,REV,25000000,4.340000,BTEC
,2025-04-25 07:00:54.988,912797PD3,Buy,25.000000,4.340000,BTEC_REPO_US,3488226,2025-04-29 07:01:19,912797PD3,REV,25000000,4.340000,BTEC
,2025-04-25 07:00:55.989,912797PD3,Buy,25.000000,4.340000,BTEC_REPO_US,3488226,2025-04-29 07:01:19,912797PD3,REV,25000000,4.340000,BTEC
,2025-04-25 07:00:56.987,912797PD3,Buy,25.000000,4.340000,BTEC_REPO_US,3488226,2025-04-29 07:01:19,912797PD3,REV,25000000,4.340000,BTEC
,2025-04-25 07:00:57.992,912797PD3,Buy,25.000000,4.340000,BTEC_REPO_US,3488226,2025-04-29 07:01:19,912797PD3,REV,25000000,4.340000,BTEC
,2025-04-25 07:00:58.937,91282CLU3,Buy,25.000000,4.370000,BTEC_REPO_US,3488279,2025-04-29 07:03:03,91282CLU3,REV,25000000,4.370000,BTEC
,2025-04-25 07:00:58.937,91282CLU3,Sell,25.000000,4.350000,DEALERWEB_REPO,3488278,2025-04-29 07:03:03,91282CLU3,REP,25000000,4.350000,DEAL
,2025-04-25 07:00:58.988,91282CLU3,Buy,25.000000,4.370000,BTEC_REPO_US,3488279,2025-04-29 07:03:03,91282CLU3,REV,25000000,4.370000,BTEC
,2025-04-25 07:00:58.988,91282CLU3,Sell,25.000000,4.350000,DEALERWEB_REPO,3488278,2025-04-29 07:03:03,91282CLU3,REP,25000000,4.350000,DEAL
,2025-04-25 07:00:58.989,912797PD3,Buy,25.000000,4.340000,BTEC_REPO_US,3488226,2025-04-29 07:01:19,912797PD3,REV,25000000,4.340000,BTEC
,2025-04-25 07:00:59.987,91282CLU3,Buy,25.000000,4.370000,BTEC_REPO_US,3488279,2025-04-29 07:03:03,91282CLU3,REV,25000000,4.370000,BTEC
,2025-04-25 07:00:59.988,91282CLU3,Sell,25.000000,4.350000,DEALERWEB_REPO,3488278,2025-04-29 07:03:03,91282CLU3,REP,25000000,4.350000,DEAL
,2025-04-25 07:00:59.992,912797PD3,Buy,25.000000,4.340000,BTEC_REPO_US,3488226,2025-04-29 07:01:19,912797PD3,REV,25000000,4.340000,BTEC
,2025-04-25 07:01:00.078,91282CLU3,Buy,25.000000,4.370000,BTEC_REPO_US,3488279,2025-04-29 07:03:03,91282CLU3,REV,25000000,4.370000,BTEC
,2025-04-25 07:01:00.078,91282CLU3,Sell,25.000000,4.350000,DEALERWEB_REPO,3488278,2025-04-29 07:03:03,91282CLU3,REP,25000000,4.350000,DEAL
,2025-04-25 07:01:00.989,912797PD3,Buy,25.000000,4.340000,BTEC_REPO_US,3488226,2025-04-29 07:01:19,912797PD3,REV,25000000,4.340000,BTEC
,2025-04-25 07:01:01.993,912797PD3,Buy,25.000000,4.340000,BTEC_REPO_US,3488226,2025-04-29 07:01:19,912797PD3,REV,25000000,4.340000,BTEC
,2025-04-25 07:01:02.547,91282CGQ8,Buy,50.000000,4.380000,BTEC_REPO_US,3488230,2025-04-29 07:01:20,91282CGQ8,REV,50000000,4.380000,BTEC
,2025-04-25 07:01:02.548,91282CGQ8,Sell,40.000000,4.360000,BTEC_REPO_US,3488219,2025-04-29 07:01:02,91282CGQ8,REP,40000000,4.360000,BTEC
,2025-04-25 07:01:02.993,912797PD3,Buy,25.000000,4.340000,BTEC_REPO_US,3488226,2025-04-29 07:01:19,912797PD3,REV,25000000,4.340000,BTEC
,2025-04-25 07:01:03.988,912797PD3,Buy,25.000000,4.340000,BTEC_REPO_US,3488226,2025-04-29 07:01:19,912797PD3,REV,25000000,4.340000,BTEC
,2025-04-25 07:01:20.868,91282CMT5,Buy,50.000000,4.380000,BTEC_REPO_US,3488251,2025-04-29 07:01:41,91282CMT5,REV,50000000,4.380000,BTEC
,2025-04-25 07:01:20.869,91282CMT5,Sell,50.000000,4.350000,DEALERWEB_REPO,3488231,2025-04-29 07:01:43,91282CMT5,REP,50000000,4.350000,DEAL
,2025-04-25 07:01:20.988,91282CMT5,Buy,50.000000,4.380000,BTEC_REPO_US,3488251,2025-04-29 07:01:41,91282CMT5,REV,50000000,4.380000,BTEC
,2025-04-25 07:01:20.988,91282CMT5,Sell,50.000000,4.350000,DEALERWEB_REPO,3488231,2025-04-29 07:01:43,91282CMT5,REP,50000000,4.350000,DEAL
,2025-04-25 07:01:21.988,91282CMT5,Buy,50.000000,4.380000,BTEC_REPO_US,3488251,2025-04-29 07:01:41,91282CMT5,REV,50000000,4.380000,BTEC
,2025-04-25 07:01:21.988,91282CMT5,Sell,50.000000,4.350000,DEALERWEB_REPO,3488231,2025-04-29 07:01:43,91282CMT5,REP,50000000,4.350000,DEAL
,2025-04-25 07:01:22.988,91282CMT5,Buy,50.000000,4.380000,BTEC_REPO_US,3488251,2025-04-29 07:01:41,91282CMT5,REV,50000000,4.380000,BTEC
